mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.393665472666423,2.638556779370668,8.993735154469809,1.8525633297390902,10,sqrt,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.9415437126172063,0.9426181512156683,0.9431846821905085,0.9424488486744611,0.0006805354744466035,27
12.809544006983439,0.5939228981778933,4.242594559987386,0.48467658271309844,10,sqrt,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.9419050661364022,0.9430205343565107,0.9427383015824772,0.9425546340251301,0.0004735452574178267,25
7.889112075169881,0.24416603355095773,8.099430481592814,0.10631663931536176,10,sqrt,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9418973164732113,0.9410281398891522,0.9425479527835914,0.9418244697153183,0.0006225955327645233,35
13.348309755325317,0.5960982072111037,3.8012704054514566,0.4802952517814828,10,sqrt,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.941451320200014,0.9429311137719402,0.942792888284791,0.9423917740855817,0.0006673912917641827,29
12.346512158711752,0.4252029548883535,3.8808325131734214,0.4782189634246992,10,sqrt,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.94126244715717,0.9423186358817026,0.9426537872058659,0.9420782900815795,0.0005928919859490374,33
15.88709553082784,0.5522046963584752,3.819856643676758,1.6313807623783714,10,sqrt,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.9414030808125148,0.9423510190820127,0.9427582383996024,0.9421707794313766,0.0005677310221142456,31
11.899874687194824,3.9070171101660667,2.046144167582194,0.37857901897766594,10,log2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.9415437126172063,0.9426181512156683,0.9431846821905085,0.9424488486744611,0.0006805354744466035,27
6.35523255666097,0.2453260128444769,8.395459016164144,0.0829717246601057,10,log2,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.9419050661364022,0.9430205343565107,0.9427383015824772,0.9425546340251301,0.0004735452574178267,25
6.494884490966797,3.130008012776012,3.4777692953745523,0.3012112395016809,10,log2,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.9418973164732113,0.9410281398891522,0.9425479527835914,0.9418244697153183,0.0006225955327645233,35
13.034296751022339,0.3403510587403753,4.482182741165161,0.690436765706703,10,log2,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.941451320200014,0.9429311137719402,0.942792888284791,0.9423917740855817,0.0006673912917641827,29
10.220465421676636,0.20174123396144744,2.8994531631469727,0.1078277042297879,10,log2,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.94126244715717,0.9423186358817026,0.9426537872058659,0.9420782900815795,0.0005928919859490374,33
12.630845387776693,0.2589149041316213,3.349216858545939,1.9178220695469936,10,log2,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.9414030808125148,0.9423510190820127,0.9427582383996024,0.9421707794313766,0.0005677310221142456,31
10.824875116348267,0.029096011879330703,2.983955224355062,1.4674796596305895,20,sqrt,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.9580470260042304,0.956711111171023,0.9578054793436444,0.9575212055062993,0.0005812491269355757,5
12.302269220352173,0.37004548912374313,8.760815620422363,0.332721203170733,20,sqrt,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.9576272818720746,0.9566592328262769,0.9578027150758914,0.9573630765914144,0.0005028195412156614,7
10.021775801976522,0.638872670649457,6.925317684809367,0.6648853965069845,20,sqrt,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9567533615317669,0.9552288370739112,0.9563084151132051,0.9560968712396277,0.0006401077062943914,13
13.715254624684652,0.04108477292220599,5.03732705116272,0.3866496090977012,20,sqrt,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.95664061731119,0.9555248309517342,0.9558754537762922,0.9560136340130722,0.0004658791927558721,15
10.449058930079142,0.052236294433476174,6.3795881271362305,0.05238529746193878,20,sqrt,10,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.955701341030816,0.9534913561325294,0.9546979056919662,0.9546302009517706,0.0009034918415228181,21
13.29634157816569,0.43950802934404365,4.853883743286133,0.1483147999750233,20,sqrt,10,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.9556698144894545,0.953531921408092,0.9543261057288486,0.9545092805421316,0.0008823496910713199,23
12.384470780690512,0.11996648891755443,4.7464141845703125,0.156934320543737,20,log2,2,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.9580470260042304,0.956711111171023,0.9578054793436444,0.9575212055062993,0.0005812491269355757,5
