Model,Accuracy,Balanced Accuracy,SYN Precision,SYN Recall,SYN F1,UDP Precision,UDP Recall,UDP F1,HTTP Precision,HTTP Recall,HTTP F1,BENIGN Precision,BENIGN Recall,BENIGN F1
RandomForest,0.9211944015809849,0.7760738939844927,0.8788233002142997,0.913620253164557,0.8958840176753885,0.8753341775714085,0.8307959401709402,0.8524837273038712,0.014925373134328358,0.4,0.02877697841726619,0.973209659032024,0.9598793826024736,0.9664985590778098
SVM,0.00027071658680527354,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.00027071658680527354,1.0,0.0005412866383393325,0.0,0.0,0.0
XGBoost,0.8916592219605295,0.7273530931616516,0.8262715775870026,0.9064303797468355,0.864496812825961,0.9196187450357427,0.7731036324786325,0.8400203148806501,0.007317073170731708,0.3,0.014285714285714285,0.9377867120251533,0.9298783604211387,0.9338157928503605
