Model,Accuracy,Balanced Accuracy,SYN Precision,SYN Recall,UDP Precision,UDP Recall,HTTP F1,BENIGN Precision
RandomForest,0.9211944015809849,0.7760738939844927,0.8788233002142997,0.913620253164557,0.8753341775714085,0.8307959401709402,0.02877697841726619,0.973209659032024
SVM,0.00027071658680527354,0.25,0.0,0.0,0.0,0.0,0.0005412866383393325,0.0
XGBoost,0.8916592219605295,0.7273530931616516,0.8262715775870026,0.9064303797468355,0.9196187450357427,0.7731036324786325,0.014285714285714285,0.9377867120251533
