Model,best_score,val_accuracy,val_balanced_accuracy
RandomForest,0.9600350077096086,0.964901941525063,0.9677813501650869
SGD,0.5982004136680757,0.4484824673411256,0.5998245714651218
XGBoost,0.9025667096648244,0.9417215073830337,0.906785815177626
